ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.6,0.1,0.05,17,1,0.5017029,0
0,0.5,0.2,0.05,18,2,0.570722,1
0,0.6,0.2,0.05,4,3,0.6539351,1
0,0.5,0.1,0.05,7,4,0.5010405,1
0,0.4,0.1,0.05,1,5,0.5014568,0
0,0.4,0.1,0.05,9,6,0.3616128,1
0,0.5,0.1,0.05,15,7,0.3624091,0
0,0.6,0.2,0.05,17,8,0.6820169,1
0,0.4,0.2,0.05,8,9,0.4313939,1
0,0.5,0.2,0.05,19,10,0.5709865,1
0,0.4,0.1,0.05,13,11,0.4593763,0
0,0.5,0.1,0.05,11,12,0.5708455,0
0,0.5,0.2,0.05,12,13,0.3621166,0
0,0.4,0.1,0.05,16,14,0.4596279,0
0,0.4,0.1,0.05,2,15,0.4174622,1
0,0.5,0.2,0.05,9,16,0.5289493,1
0,0.4,0.1,0.05,12,17,0.3897491,1
0,0.5,0.2,0.05,16,18,0.5154445,1
0,0.5,0.1,0.05,1,19,0.4595407,1
0,0.6,0.1,0.05,2,20,0.5987582,1
0,0.4,0.1,0.05,19,21,0.3761998,1
0,0.4,0.2,0.05,1,22,0.3484893,0
0,0.5,0.2,0.05,3,23,0.5848294,1
0,0.4,0.2,0.05,6,24,0.4733692,1
0,0.6,0.2,0.05,16,25,0.6962658,1
0,0.6,0.2,0.05,6,26,0.6406633,1
0,0.4,0.2,0.05,15,27,0.4176808,1
0,0.6,0.2,0.05,13,28,0.6819207,1
0,0.4,0.2,0.05,13,29,0.4874276,1
0,0.6,0.2,0.05,7,30,0.6125998,1
0,0.5,0.1,0.05,18,31,0.5987148,0
0,0.5,0.1,0.05,14,32,0.5153341,1
0,0.5,0.2,0.05,11,33,0.5842539,1
0,0.5,0.1,0.05,2,34,0.4594633,1
0,0.4,0.2,0.05,17,35,0.4318883,1
0,0.4,0.2,0.05,11,36,0.4597325,1
0,0.5,0.1,0.05,4,37,0.598848,0
0,0.4,0.1,0.05,7,38,0.4035947,1
0,0.5,0.1,0.05,19,39,0.4453858,0
0,0.6,0.1,0.05,13,40,0.7519276,0
0,0.6,0.2,0.05,1,41,0.6406405,1
0,0.4,0.2,0.05,3,42,0.4733868,1
0,0.4,0.2,0.05,0,43,0.4875392,1
0,0.6,0.1,0.05,9,44,0.6405232,1
0,0.6,0.2,0.05,0,45,0.6403937,1
0,0.4,0.1,0.05,0,46,0.4595369,0
0,0.5,0.2,0.05,6,47,0.5289451,1
0,0.5,0.2,0.05,13,48,0.5571356,1
0,0.5,0.1,0.05,3,49,0.4317606,0
0,0.6,0.1,0.05,11,50,0.6542997,0
0,0.6,0.2,0.05,10,51,0.6546491,1
0,0.6,0.2,0.05,18,52,0.737563,1
0,0.6,0.1,0.05,3,53,0.5714415,1
0,0.4,0.1,0.05,15,54,0.4031966,1
0,0.4,0.1,0.05,8,55,0.3901547,1
0,0.5,0.1,0.05,9,56,0.4037835,0
0,0.4,0.2,0.05,2,57,0.5144152,1
0,0.6,0.1,0.05,8,58,0.598668,1
0,0.4,0.2,0.05,10,59,0.4738382,1
0,0.6,0.2,0.05,5,60,0.6268841,1
0,0.4,0.2,0.05,5,61,0.4870585,1
0,0.6,0.1,0.05,14,62,0.6126996,1
0,0.6,0.1,0.05,7,63,0.6126093,1
0,0.6,0.1,0.05,15,64,0.6129708,1
0,0.6,0.2,0.05,19,65,0.7235423,1
0,0.5,0.2,0.05,10,66,0.5710083,1
0,0.4,0.2,0.05,9,67,0.4318241,1
0,0.6,0.1,0.05,0,68,0.6539384,0
0,0.5,0.1,0.05,10,69,0.5568131,0
0,0.4,0.1,0.05,5,70,0.4450766,1
0,0.5,0.1,0.05,12,71,0.5571505,0
0,0.6,0.2,0.05,14,72,0.570672,1
0,0.5,0.2,0.05,8,73,0.5701601,1
0,0.6,0.2,0.05,15,74,0.6682761,1
0,0.4,0.2,0.05,4,75,0.4320475,1
0,0.4,0.1,0.05,6,76,0.3759007,1
0,0.5,0.2,0.05,7,77,0.5428485,1
0,0.4,0.2,0.05,7,78,0.5011036,1
0,0.6,0.1,0.05,18,79,0.5983931,1
0,0.5,0.2,0.05,15,80,0.598426,1
0,0.5,0.2,0.05,5,81,0.5844753,1
0,0.5,0.2,0.05,1,82,0.5565001,1
0,0.5,0.1,0.05,0,83,0.5711654,0
0,0.6,0.1,0.05,1,84,0.611576,1
0,0.5,0.2,0.05,14,85,0.4730361,1
0,0.4,0.1,0.05,14,86,0.4591418,0
0,0.4,0.1,0.05,3,87,0.403776,1
0,0.4,0.1,0.05,17,88,0.4037922,1
0,0.5,0.1,0.05,8,89,0.4040838,0
0,0.6,0.1,0.05,4,90,0.6126009,1
0,0.6,0.1,0.05,5,91,0.6263043,1
0,0.4,0.1,0.05,18,92,0.4171692,1
0,0.6,0.2,0.05,12,93,0.7101455,1
0,0.6,0.2,0.05,8,94,0.5288017,0
0,0.6,0.1,0.05,6,95,0.6405895,1
0,0.4,0.2,0.05,12,96,0.47311,1
0,0.5,0.2,0.05,2,97,0.5708163,1
0,0.4,0.2,0.05,14,98,0.515275,1
0,0.6,0.1,0.05,10,99,0.6122966,1
0,0.5,0.1,0.05,16,100,0.55655,0
0,0.6,0.1,0.05,16,101,0.723834,0
0,0.5,0.1,0.05,5,102,0.4595992,1
0,0.5,0.1,0.05,17,103,0.6124012,0
0,0.4,0.2,0.05,19,104,0.3757863,1
0,0.6,0.2,0.05,11,105,0.5426554,0
0,0.6,0.2,0.05,2,106,0.6544743,1
