ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
1,1,0.2,0.8,8,1,0.399,1
1,1.333333,0.4,0.8,16,2,0.533,0
1,1.333333,0.4,0.8,14,3,0.5689999,1
1,1,0.3,0.8,17,4,0.691,0
1,1.333333,0.2666667,0.8,0,5,0.419,0
1,1.333333,0.2666667,0.8,16,6,0.491,0
1,1.333333,0.4,0.8,0,7,0.6020001,1
1,1.333333,0.4,0.8,19,8,0.582,1
1,1.333333,0.2666667,0.8,10,9,0.523,0
1,1.333333,0.4,0.8,8,10,0.724,1
1,1.333333,0.4,0.8,12,11,0.686,1
1,1,0.3,0.8,15,12,0.655,0
1,1,0.2,0.8,3,13,0.48,0
1,1.333333,0.2666667,0.8,3,14,0.368,0
1,1,0.2,0.8,5,15,0.512,0
1,1,0.2,0.8,17,16,0.374,1
1,1.333333,0.4,0.8,15,17,0.385,0
1,1.333333,0.4,0.8,9,18,0.603,1
1,1.333333,0.4,0.8,13,19,0.757,1
1,1,0.2,0.8,2,20,0.361,1
1,1,0.2,0.8,14,21,0.5090001,0
1,1,0.2,0.8,0,22,0.396,1
1,1,0.2,0.8,18,23,0.328,1
1,1.333333,0.4,0.8,7,24,0.732,1
1,1.333333,0.2666667,0.8,5,25,0.5000001,0
1,1.333333,0.4,0.8,4,26,0.575,1
1,1,0.3,0.8,9,27,0.561,0
1,1,0.2,0.8,19,28,0.384,1
1,1,0.2,0.8,13,29,0.4979999,0
1,1.333333,0.2666667,0.8,2,30,0.6669999,1
1,1.333333,0.2666667,0.8,18,31,0.587,1
1,1.333333,0.2666667,0.8,4,32,0.683,1
1,1.333333,0.2666667,0.8,8,33,0.734,1
1,1,0.3,0.8,8,34,0.433,1
1,1.333333,0.4,0.8,2,35,0.523,0
1,1,0.2,0.8,11,36,0.5510001,0
1,1,0.2,0.8,15,37,0.417,0
1,1,0.2,0.8,9,38,0.443,0
1,1,0.2,0.8,1,39,0.31,1
1,1.333333,0.2666667,0.8,9,40,0.361,0
1,1.333333,0.4,0.8,10,41,0.6799999,1
1,1,0.3,0.8,2,42,0.6199999,0
1,1,0.3,0.8,0,43,0.421,1
1,1,0.3,0.8,4,44,0.37,1
1,1,0.3,0.8,19,45,0.5,1
1,1,0.2,0.8,6,46,0.651,0
1,1.333333,0.4,0.8,18,47,0.409,0
1,1.333333,0.4,0.8,17,48,0.614,1
