ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
1,0.75,0.125,0.1,5,1,0.6841,1
1,0.75,0.125,0.15,9,2,0.7684999,0
1,0.75,0.1875,0.1,16,3,0.7510999,1
1,1,0.1666667,0.2,4,4,0.5334001,0
1,0.75,0.125,0.2,0,5,0.6517,1
1,0.75,0.1875,0.1,5,6,0.7856,1
1,1,0.25,0.15,14,7,0.9515001,1
1,1,0.25,0.15,2,8,0.9194002,1
1,0.5,0.08333334,0.15,5,9,0.5003,0
1,0.75,0.125,0.15,6,10,0.8019,0
1,0.75,0.125,0.15,18,11,0.7526,0
1,0.75,0.125,0.1,6,12,0.6677001,1
1,1,0.1666667,0.15,17,13,0.9353998,1
1,1,0.25,0.2,5,14,1.0188,1
1,0.5,0.08333334,0.15,3,15,0.5002,0
1,0.75,0.1875,0.15,16,16,0.5509001,0
1,0.5,0.125,0.15,3,17,0.4992,0
1,1,0.25,0.15,5,18,0.8682999,1
1,0.5,0.08333334,0.1,2,19,0.502,0
1,0.75,0.125,0.15,4,20,0.6331001,1
1,0.5,0.08333334,0.15,16,21,0.4687,0
1,1,0.25,0.15,8,22,0.7015999,0
1,1,0.25,0.15,11,23,1.02,1
1,0.75,0.1875,0.1,17,24,0.7349001,1
1,0.75,0.125,0.2,16,25,0.7185,0
1,1,0.25,0.2,15,26,0.9004,1
1,0.5,0.08333334,0.15,18,27,0.5014,0
1,1,0.1666667,0.15,12,28,0.8178001,0
1,0.75,0.1875,0.15,3,29,0.8015,0
1,0.75,0.1875,0.1,12,30,0.5519,0
1,0.75,0.125,0.2,3,31,0.6842,0
1,1,0.1666667,0.15,10,32,0.834,0
1,0.75,0.1875,0.15,8,33,0.7704001,1
1,1,0.1666667,0.1,11,34,0.8679999,0
1,0.75,0.125,0.15,5,35,0.6844,1
1,0.75,0.1875,0.2,17,36,0.6675,1
1,1,0.25,0.2,11,37,0.8517002,1
1,0.75,0.1875,0.15,4,38,0.6517,1
1,0.5,0.125,0.1,19,39,0.535,0
1,0.75,0.1875,0.15,0,40,0.585,0
1,1,0.1666667,0.15,3,41,0.9348999,1
1,0.75,0.125,0.1,9,42,0.7379,1
1,0.75,0.125,0.2,13,43,0.6517,1
1,0.5,0.08333334,0.15,10,44,0.5352001,0
1,0.5,0.08333334,0.2,9,45,0.501,0
1,0.5,0.08333334,0.1,15,46,0.502,0
1,0.75,0.125,0.15,10,47,0.5842,0
1,0.5,0.125,0.1,2,48,0.4832,1
1,0.5,0.125,0.2,6,49,0.4671001,0
1,0.5,0.125,0.2,9,50,0.3841999,1
1,0.5,0.08333334,0.2,17,51,0.3999,0
1,0.75,0.125,0.2,8,52,0.6676,1
1,1,0.1666667,0.1,5,53,0.8678998,0
1,0.5,0.125,0.1,15,54,0.4855,1
1,0.5,0.08333334,0.1,17,55,0.5504,0
1,0.5,0.125,0.15,8,56,0.5164001,0
1,0.5,0.08333334,0.15,2,57,0.4177001,1
1,0.5,0.08333334,0.15,15,58,0.4512001,0
1,0.75,0.1875,0.1,4,59,0.4851,0
1,0.5,0.08333334,0.1,6,60,0.5019,0
1,1,0.25,0.2,10,61,0.9018,1
1,0.5,0.125,0.2,2,62,0.5513,0
1,0.75,0.1875,0.2,3,63,0.7011001,1
1,1,0.1666667,0.2,5,64,0.5519,0
1,0.5,0.125,0.1,16,65,0.552,0
1,0.75,0.125,0.2,1,66,0.568,1
1,0.5,0.08333334,0.15,9,67,0.5184,0
1,0.5,0.08333334,0.2,8,68,0.535,0
1,0.5,0.125,0.1,3,69,0.4839,1
1,0.75,0.1875,0.2,11,70,0.7517,0
1,1,0.25,0.1,5,71,0.9861,1
1,0.75,0.125,0.1,19,72,0.6995999,1
1,0.75,0.125,0.1,14,73,0.6178001,0
1,0.5,0.125,0.2,17,74,0.5839999,0
1,0.5,0.125,0.1,12,75,0.417,1
1,1,0.25,0.2,14,76,0.9866,1
1,0.75,0.1875,0.2,13,77,0.6009001,1
1,0.75,0.1875,0.1,10,78,0.6678,1
1,0.75,0.125,0.15,11,79,0.6012,1
1,1,0.1666667,0.2,17,80,0.6518999,0
1,0.75,0.125,0.2,4,81,0.6342999,1
1,0.5,0.125,0.15,16,82,0.5006,0
1,0.5,0.125,0.15,19,83,0.4849,0
1,0.5,0.08333334,0.2,16,84,0.4519001,0
1,1,0.1666667,0.1,2,85,0.8184,0
1,0.5,0.125,0.2,18,86,0.5171,0
1,1,0.25,0.2,19,87,0.7517,0
1,0.5,0.08333334,0.1,5,88,0.5340999,0
1,1,0.1666667,0.1,15,89,0.8181999,0
1,0.75,0.125,0.15,16,90,0.6012,1
1,1,0.1666667,0.1,12,91,0.8346,0
1,1,0.1666667,0.15,0,92,0.9190999,1
1,0.75,0.125,0.15,15,93,0.7341,0
1,0.75,0.125,0.15,7,94,0.7837999,0
1,0.5,0.08333334,0.1,7,95,0.4338999,1
1,1,0.1666667,0.2,6,96,0.8176,1
1,0.5,0.125,0.1,0,97,0.5188,1
1,1,0.25,0.15,9,98,0.8174001,0
1,0.75,0.125,0.15,3,99,0.6183,1
1,0.75,0.1875,0.2,6,100,0.7176999,1
1,0.5,0.08333334,0.15,4,101,0.501,0
1,0.75,0.1875,0.15,1,102,0.4861,0
1,0.5,0.08333334,0.2,5,103,0.4681,0
1,0.5,0.08333334,0.2,19,104,0.5512,0
1,1,0.25,0.15,6,105,0.9516,1
1,1,0.25,0.2,0,106,1.0197,1
1,0.75,0.1875,0.2,10,107,0.6177999,1
1,0.75,0.125,0.15,17,108,0.5844001,0
1,0.75,0.1875,0.15,12,109,0.7164001,1
1,1,0.25,0.2,4,110,0.9017998,1
1,0.5,0.08333334,0.15,8,111,0.5175999,0
1,0.75,0.125,0.2,17,112,0.5001,0
1,0.5,0.08333334,0.2,10,113,0.4518999,0
1,0.75,0.125,0.15,0,114,0.5834,0
1,1,0.1666667,0.2,10,115,0.9356,1
1,0.75,0.1875,0.15,2,116,0.618,1
1,1,0.25,0.1,4,117,1.0357,1
1,0.5,0.08333334,0.1,18,118,0.5008,0
1,0.5,0.125,0.2,12,119,0.4512,0
